          Date            Description     Amount       Category
0   2026-05-01       HDFC SALARY CRED          -      50,000.00
1   2026-05-02           ZOMATO PATNA    -280.50           Food
2   2026-05-03          NETFLIX INDIA    -499.00  Entertainment
3   2026-05-05     FITNESS GARAGE GYM  -2,000.00         Health
4   2026-05-08       SWIGGY INSTAMART    -650.00      Groceries
5   2026-05-10      INTEREST CREDITED     150.25         Others
6   2026-05-12       BLINKIT COMMERCE    -420.00      Groceries
7   2026-05-15    CASH WITHDRAWAL ATM  -5,000.00           Cash
8   2026-05-18       AMAZON PAY INDIA   -1299.00       Shopping
9   2026-05-22           ZOMATO PATNA    -320.00           Food
10  2026-05-25        MAKEMYTRIP TOUR   -4500.00         Travel
11  2026-05-28          ZEPTO GROCERY    -180.00      Groceries
12  2026-05-30       ELECTRICITY BILL   -1850.00      Utilities
13  2026-06-01       HDFC SALARY CRED          -      50,000.00
14  2026-06-02           SWIGGY PATNA    -410.50           Food
15  2026-06-03        SPOTIFY PREMIUM    -119.00  Entertainment
16  2026-06-05  MUSCLEBLAZE NUTRITION  -3,499.00         Health
17  2026-06-07        BIGBASKET PATNA   -1200.00      Groceries
18  2026-06-09     JIO FIBER RECHARGE    -599.00      Utilities
